Year,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Off Pts Rank,Off Yds Rank,Def Pts Rank,Def Yds Rank,T/G,Pts_diff,Yds_diff,MoV,SoS,SRS,OSRS,DSRS
2021,KC,12,5,0,1st of 4,Lost Conf,480,364,116,4,3,8,27,11,5,11,6.8,0.6,7.4,5.4,2.0
2020,KC,14,2,0,1st of 4,Lost SB,473,362,111,6,1,10,16,8,6,3,6.9,-0.1,6.8,4.5,2.3
2019,KC,12,4,0,1st of 4,Won SB,451,308,143,5,6,7,17,7,4,10,8.9,0.2,9.1,6.2,2.9
2018,KC,12,4,0,1st of 4,Lost Conf,565,421,144,1,1,24,31,6,2,11,9.0,-0.1,8.9,12.6,-3.8
2017,KC,10,6,0,1st of 4,Lost WC,415,339,76,6,5,15,28,2,10,12,4.8,-1.3,3.4,3.8,-0.3
2016,KC,12,4,0,1st of 4,Lost Div,389,311,78,13,20,7,24,1,4,28,4.9,0.7,5.6,1.2,4.4
2015,KC,11,5,0,2nd of 4,Lost Div,405,287,118,9,27,3,7,2,6,15,7.4,1.6,9.0,3.7,5.3
2014,KC,9,7,0,2nd of 4,,353,281,72,16,25,2,7,21,9,22,4.5,1.2,5.7,0.0,5.7
2013,KC,11,5,0,2nd of 4,Lost WC,430,305,125,6,21,5,24,2,4,25,7.8,-1.7,6.1,1.7,4.3
2012,KC,2,14,0,4th of 4,,211,425,-214,32,24,25,20,31,32,27,-13.4,-0.6,-14.0,-10.3,-3.7
2021,OAK,10,7,0,2nd of 4,Lost WC,374,439,-65,18,11,26,14,27,23,13,-3.8,0.6,-3.3,-0.7,-2.6
2020,OAK,8,8,0,2nd of 4,,434,478,-44,10,8,30,25,30,21,17,-2.8,0.8,-2.0,2.9,-4.9
2019,OAK,7,9,0,3rd of 4,,313,419,-106,24,11,24,19,21,27,14,-6.6,-0.3,-6.9,-2.5,-4.4
2018,OAK,4,12,0,4th of 4,,290,467,-177,28,23,32,26,26,31,27,-11.1,1.8,-9.3,-5.2,-4.1
